name,Builder,BHK,Price,Area,Description
Srishti Oasis,Srishti Group,2 BHK Apartment,₹1.25 - 1.6 Cr,425 - 910 sq.ft,"Check out 1,2,3 BHK apartments in New Rajaram Wadi, now available for sale at Srishti Oasis. Srishti Oasis 's RERA registration number is P51800005548. Apartments in Srishti Oasis have CARPET area ranging between 425 - 910 sq.ft.. Apartments in this complex are available in price range of Rs. 88 L - 2.21 Cr"
Srishti Oasis,Srishti Group,3 BHK Apartment,₹1.83 - 2.21 Cr,425 - 910 sq.ft,"Check out 1,2,3 BHK apartments in New Rajaram Wadi, now available for sale at Srishti Oasis. Srishti Oasis 's RERA registration number is P51800005548. Apartments in Srishti Oasis have CARPET area ranging between 425 - 910 sq.ft.. Apartments in this complex are available in price range of Rs. 88 L - 2.21 Cr"
Kalpataru Magnus,Kalpataru Limited,2 BHK Apartment,₹4.21 Cr,781 - 1800 sq.ft,"Beautiful 2,3,4,5 BHK apartments in Bandra East, are now available in Kalpataru Magnus housing project. The housing society is RERA-registered with P51800004029 registration number. Here units have different sizes, mostly in range of 781 - 1,800 sq.ft. CARPET area. Apartment prices in this housing society vary in the range of Rs. 4.21 - 9.67 Cr"
Kalpataru Magnus,Kalpataru Limited,3 BHK Apartment,₹5.99 - 7.37 Cr,781 - 1800 sq.ft,"Beautiful 2,3,4,5 BHK apartments in Bandra East, are now available in Kalpataru Magnus housing project. The housing society is RERA-registered with P51800004029 registration number. Here units have different sizes, mostly in range of 781 - 1,800 sq.ft. CARPET area. Apartment prices in this housing society vary in the range of Rs. 4.21 - 9.67 Cr"
Kalpataru Magnus,Kalpataru Limited,4 BHK Apartment,₹8.9 Cr,781 - 1800 sq.ft,"Beautiful 2,3,4,5 BHK apartments in Bandra East, are now available in Kalpataru Magnus housing project. The housing society is RERA-registered with P51800004029 registration number. Here units have different sizes, mostly in range of 781 - 1,800 sq.ft. CARPET area. Apartment prices in this housing society vary in the range of Rs. 4.21 - 9.67 Cr"
Kalpataru Magnus,Kalpataru Limited,5 BHK Apartment,₹9.67 Cr,781 - 1800 sq.ft,"Beautiful 2,3,4,5 BHK apartments in Bandra East, are now available in Kalpataru Magnus housing project. The housing society is RERA-registered with P51800004029 registration number. Here units have different sizes, mostly in range of 781 - 1,800 sq.ft. CARPET area. Apartment prices in this housing society vary in the range of Rs. 4.21 - 9.67 Cr"
Lodha Cullinan,Lodha,4 BHK Apartment,₹22 Cr,383195 - 5446 sq.ft,"Here are beautifully built 4,5 BHK apartments in Andheri West, available for sale at Lodha Cullinan. Prices of apartments in this project, vary between Rs. 22 - 31.27 Cr. Here units have different sizes, mostly in range of 3,831.95 - 5,446 sq.ft. CARPET area. This society is RERA approved and P51800054551 is the RERA number"
Lodha Cullinan,Lodha,5 BHK Apartment,₹31.27 Cr,383195 - 5446 sq.ft,"Here are beautifully built 4,5 BHK apartments in Andheri West, available for sale at Lodha Cullinan. Prices of apartments in this project, vary between Rs. 22 - 31.27 Cr. Here units have different sizes, mostly in range of 3,831.95 - 5,446 sq.ft. CARPET area. This society is RERA approved and P51800054551 is the RERA number"
Sunbeam Heights,Sun Beam High Tech Developers,1 BHK Apartment,₹1.35 - 1.46 Cr,40171 - 1005 sq.ft,"Check out 1,2,3 BHK apartments in Andheri West, now available for sale at Sunbeam Heights. Apartments in this complex are available in price range of Rs. 1.35 - 3.38 Cr. Sunbeam Heights is a RERA- registered society and P51800049875 is the RERA registration number. Here units have different sizes, mostly in range of 401.71 - 1,005 sq.ft. CARPET area"
Sunbeam Heights,Sun Beam High Tech Developers,2 BHK Apartment,₹1.98 - 2.39 Cr,40171 - 1005 sq.ft,"Check out 1,2,3 BHK apartments in Andheri West, now available for sale at Sunbeam Heights. Apartments in this complex are available in price range of Rs. 1.35 - 3.38 Cr. Sunbeam Heights is a RERA- registered society and P51800049875 is the RERA registration number. Here units have different sizes, mostly in range of 401.71 - 1,005 sq.ft. CARPET area"
Sunbeam Heights,Sun Beam High Tech Developers,3 BHK Apartment,₹3.15 - 3.38 Cr,40171 - 1005 sq.ft,"Check out 1,2,3 BHK apartments in Andheri West, now available for sale at Sunbeam Heights. Apartments in this complex are available in price range of Rs. 1.35 - 3.38 Cr. Sunbeam Heights is a RERA- registered society and P51800049875 is the RERA registration number. Here units have different sizes, mostly in range of 401.71 - 1,005 sq.ft. CARPET area"
CCI Rivali Park Moonrise,CCI Projects Mumbai,2 BHK Apartment,₹1.97 - 2.03 Cr,77123 - 119598 sq.ft,"Finest 2,3 BHK apartments in Magathane available for sale in CCI Rivali Park Moonrise. This society is RERA approved and P51800055489 is the RERA number. This society offers apartments in the price range of Rs. 1.97 - 3.17 Cr. Here units have different sizes, mostly in range of 771.23 - 1,195.98 sq.ft. CARPET area"
CCI Rivali Park Moonrise,CCI Projects Mumbai,3 BHK Apartment,₹2.93 - 3.17 Cr,77123 - 119598 sq.ft,"Finest 2,3 BHK apartments in Magathane available for sale in CCI Rivali Park Moonrise. This society is RERA approved and P51800055489 is the RERA number. This society offers apartments in the price range of Rs. 1.97 - 3.17 Cr. Here units have different sizes, mostly in range of 771.23 - 1,195.98 sq.ft. CARPET area"
JP Infra Codename Highway Touch,JP Infra,1 BHK Apartment,₹1.04 - 1.23 Cr,37189 - 63787 sq.ft,"JP Infra Codename Highway Touch society now offers elegantly built 1,2 BHK apartments in Jogeshwari East. JP Infra Codename Highway Touch has apartments in multiple configurations, in range of 371.89 - 637.87 sq.ft.. The housing society is RERA-registered with P51800046839 registration number. This society offers apartments in the price range of Rs. 1.04 - 1.79 Cr"
JP Infra Codename Highway Touch,JP Infra,2 BHK Apartment,₹1.47 - 1.79 Cr,37189 - 63787 sq.ft,"JP Infra Codename Highway Touch society now offers elegantly built 1,2 BHK apartments in Jogeshwari East. JP Infra Codename Highway Touch has apartments in multiple configurations, in range of 371.89 - 637.87 sq.ft.. The housing society is RERA-registered with P51800046839 registration number. This society offers apartments in the price range of Rs. 1.04 - 1.79 Cr"
Sheth Avante,Sheth Group,1 BHK Apartment,₹1.25 - 1.58 Cr,439 - 891 sq.ft,"Here are beautifully built 1,2,3 BHK apartments in Kanjurmarg west, available for sale at Sheth Avante. Sheth Avante apartments are available in multiples sizes, ranging from 439 - 891 sq.ft. CARPET area. The housing society is RERA-registered with P51800001140 registration number. Apartment prices in this housing society vary in the range of Rs. 1.25 - 2.58 Cr"
Sheth Avante,Sheth Group,2 BHK Apartment,₹1.58 - 2.1 Cr,439 - 891 sq.ft,"Here are beautifully built 1,2,3 BHK apartments in Kanjurmarg west, available for sale at Sheth Avante. Sheth Avante apartments are available in multiples sizes, ranging from 439 - 891 sq.ft. CARPET area. The housing society is RERA-registered with P51800001140 registration number. Apartment prices in this housing society vary in the range of Rs. 1.25 - 2.58 Cr"
Sheth Avante,Sheth Group,3 BHK Apartment,₹2.58 Cr,439 - 891 sq.ft,"Here are beautifully built 1,2,3 BHK apartments in Kanjurmarg west, available for sale at Sheth Avante. Sheth Avante apartments are available in multiples sizes, ranging from 439 - 891 sq.ft. CARPET area. The housing society is RERA-registered with P51800001140 registration number. Apartment prices in this housing society vary in the range of Rs. 1.25 - 2.58 Cr"
Rustomjee Ashiana,Rustomjee,3 BHK Apartment,₹9.11 - 12.68 Cr,1214 - 195462 sq.ft,"Rustomjee Ashiana society now offers elegantly built 3,4 BHK apartments in Jvpd Scheme. Apartments in this complex are available in price range of Rs. 9.11 - 14.66 Cr. Rustomjee Ashiana is a RERA- registered society and P51800049755 is the RERA registration number. Here units have different sizes, mostly in range of 1,214 - 1,954.62 sq.ft. CARPET area"
Rustomjee Ashiana,Rustomjee,4 BHK Apartment,₹14.66 Cr,1214 - 195462 sq.ft,"Rustomjee Ashiana society now offers elegantly built 3,4 BHK apartments in Jvpd Scheme. Apartments in this complex are available in price range of Rs. 9.11 - 14.66 Cr. Rustomjee Ashiana is a RERA- registered society and P51800049755 is the RERA registration number. Here units have different sizes, mostly in range of 1,214 - 1,954.62 sq.ft. CARPET area"
Lodha Vero,Lodha,3 BHK Apartment,₹8.5 Cr,1795 - 2178 sq.ft,"Finest 3,4 BHK apartments in Sion available for sale in Lodha Vero. Lodha Vero is a RERA- registered society and P51900052415 is the RERA registration number. Lodha Vero has apartments in multiple configurations, in range of 1,795 - 2,178 sq.ft.. Apartment prices in this housing society vary in the range of Rs. 8.5 - 10.5 Cr"
Lodha Vero,Lodha,4 BHK Apartment,₹10.5 Cr,1795 - 2178 sq.ft,"Finest 3,4 BHK apartments in Sion available for sale in Lodha Vero. Lodha Vero is a RERA- registered society and P51900052415 is the RERA registration number. Lodha Vero has apartments in multiple configurations, in range of 1,795 - 2,178 sq.ft.. Apartment prices in this housing society vary in the range of Rs. 8.5 - 10.5 Cr"
Techno Aakasa,Techno Fresh World LLP,3 BHK Apartment,₹8.75 Cr,1300 - 1596 sq.ft,"Here are beautifully built 3,4 BHK apartments in Adarsh Nagar, available for sale at Techno Aakasa. Techno Aakasa has apartments in multiple configurations, in range of 1,300 - 1,596 sq.ft.. Apartments in this complex are available in price range of Rs. 8.75 - 12.47 Cr. Techno Aakasa 's RERA registration number is P51900050463"
Techno Aakasa,Techno Fresh World LLP,4 BHK Apartment,₹12.47 Cr,1300 - 1596 sq.ft,"Here are beautifully built 3,4 BHK apartments in Adarsh Nagar, available for sale at Techno Aakasa. Techno Aakasa has apartments in multiple configurations, in range of 1,300 - 1,596 sq.ft.. Apartments in this complex are available in price range of Rs. 8.75 - 12.47 Cr. Techno Aakasa 's RERA registration number is P51900050463"
Godrej Nest,Godrej Properties,1 BHK Apartment,₹1.09 - 1.1 Cr,424 - 860 sq.ft,"Check out 1,2,3 BHK apartments in Kandivali East, now available for sale at Godrej Nest. Godrej Nest 's RERA registration number is P51800022159. This society offers apartments in the price range of Rs. 1.09 - 2.35 Cr. Godrej Nest apartments are available in multiples sizes, ranging from 424 - 860 sq.ft. CARPET area"
Godrej Nest,Godrej Properties,2 BHK Apartment,₹1.63 - 1.85 Cr,424 - 860 sq.ft,"Check out 1,2,3 BHK apartments in Kandivali East, now available for sale at Godrej Nest. Godrej Nest 's RERA registration number is P51800022159. This society offers apartments in the price range of Rs. 1.09 - 2.35 Cr. Godrej Nest apartments are available in multiples sizes, ranging from 424 - 860 sq.ft. CARPET area"
Godrej Nest,Godrej Properties,3 BHK Apartment,₹2.34 - 2.35 Cr,424 - 860 sq.ft,"Check out 1,2,3 BHK apartments in Kandivali East, now available for sale at Godrej Nest. Godrej Nest 's RERA registration number is P51800022159. This society offers apartments in the price range of Rs. 1.09 - 2.35 Cr. Godrej Nest apartments are available in multiples sizes, ranging from 424 - 860 sq.ft. CARPET area"
Godrej Sky Terraces,Godrej Properties,3 BHK Apartment,₹6.22 Cr,1335 - 2073 sq.ft,"Godrej Sky Terraces society now offers elegantly built 3,4 BHK apartments in Chembur. Prices of apartments in this project, vary between Rs. 6.22 - 9.66 Cr. Godrej Sky Terraces has apartments in multiple configurations, in range of 1,335 - 2,073 sq.ft.. The housing society is RERA-registered with P51800053882 registration number"
Godrej Sky Terraces,Godrej Properties,4 BHK Apartment,₹8.98 - 9.66 Cr,1335 - 2073 sq.ft,"Godrej Sky Terraces society now offers elegantly built 3,4 BHK apartments in Chembur. Prices of apartments in this project, vary between Rs. 6.22 - 9.66 Cr. Godrej Sky Terraces has apartments in multiple configurations, in range of 1,335 - 2,073 sq.ft.. The housing society is RERA-registered with P51800053882 registration number"
Vraj Tiara,Vraj Group Mumbai,2 BHK Apartment,₹4.5 - 5.91 Cr,68211 - 4340 sq.ft,"Check out 2,3,4,5 BHK apartments in Worli, now available for sale at Vraj Tiara. Vraj Tiara 's RERA registration number is P51900002902. Apartments in Vraj Tiara have CARPET area ranging between 682.11 - 4,340 sq.ft.. This society offers apartments in the price range of Rs. 4.5 - 38 Cr"
Vraj Tiara,Vraj Group Mumbai,3 BHK Apartment,₹7.65 - 7.68 Cr,68211 - 4340 sq.ft,"Check out 2,3,4,5 BHK apartments in Worli, now available for sale at Vraj Tiara. Vraj Tiara 's RERA registration number is P51900002902. Apartments in Vraj Tiara have CARPET area ranging between 682.11 - 4,340 sq.ft.. This society offers apartments in the price range of Rs. 4.5 - 38 Cr"
Vraj Tiara,Vraj Group Mumbai,4 BHK Apartment,₹15.05 - 38 Cr,68211 - 4340 sq.ft,"Check out 2,3,4,5 BHK apartments in Worli, now available for sale at Vraj Tiara. Vraj Tiara 's RERA registration number is P51900002902. Apartments in Vraj Tiara have CARPET area ranging between 682.11 - 4,340 sq.ft.. This society offers apartments in the price range of Rs. 4.5 - 38 Cr"
Vraj Tiara,Vraj Group Mumbai,5 BHK Apartment,₹20.31 - 20.38 Cr,68211 - 4340 sq.ft,"Check out 2,3,4,5 BHK apartments in Worli, now available for sale at Vraj Tiara. Vraj Tiara 's RERA registration number is P51900002902. Apartments in Vraj Tiara have CARPET area ranging between 682.11 - 4,340 sq.ft.. This society offers apartments in the price range of Rs. 4.5 - 38 Cr"
Rustomjee Stella,Rustomjee,2 BHK Apartment,₹2.6 - 2.64 Cr,6593 - 88534 sq.ft,"Looking for your dream home? Explore 2,3 BHK apartments in Bandra East, now available in Rustomjee Stella. Rustomjee Stella has apartments in multiple configurations, in range of 659.3 - 885.34 sq.ft.. Rustomjee Stella is a RERA- registered society and P51800053988 is the RERA registration number. This society offers apartments in the price range of Rs. 2.6 - 3.96 Cr"
Rustomjee Stella,Rustomjee,3 BHK Apartment,₹3.8 - 3.96 Cr,6593 - 88534 sq.ft,"Looking for your dream home? Explore 2,3 BHK apartments in Bandra East, now available in Rustomjee Stella. Rustomjee Stella has apartments in multiple configurations, in range of 659.3 - 885.34 sq.ft.. Rustomjee Stella is a RERA- registered society and P51800053988 is the RERA registration number. This society offers apartments in the price range of Rs. 2.6 - 3.96 Cr"
Crescent Silverwoods,Crescent Group,1 BHK Apartment,₹1.19 Cr,43163 - 64379 sq.ft,"Check out 1,2 BHK apartments in Chandivali, now available for sale at Crescent Silverwoods. Prices of apartments in this project, vary between Rs. 1.19 - 1.79 Cr. Crescent Silverwoods is a RERA- registered society and P51800051751 is the RERA registration number. Apartments in Crescent Silverwoods have CARPET area ranging between 431.63 - 643.79 sq.ft."
Crescent Silverwoods,Crescent Group,2 BHK Apartment,₹1.75 - 1.79 Cr,43163 - 64379 sq.ft,"Check out 1,2 BHK apartments in Chandivali, now available for sale at Crescent Silverwoods. Prices of apartments in this project, vary between Rs. 1.19 - 1.79 Cr. Crescent Silverwoods is a RERA- registered society and P51800051751 is the RERA registration number. Apartments in Crescent Silverwoods have CARPET area ranging between 431.63 - 643.79 sq.ft."
Sheth 72 West,Ashwin Sheth Group,2 BHK Apartment,₹4 - 4.28 Cr,783 - 1800 sq.ft,"Choose your dream home from the wide variety of 2,3,4 BHK apartments in Oshiwara, available for sale in Sheth 72 West. Prices of apartments in this project, vary between Rs. 4 - 9.38 Cr. Apartments in Sheth 72 West have CARPET area ranging between 783 - 1,800 sq.ft.. The housing society is RERA-registered with P51800028086 registration number"
Sheth 72 West,Ashwin Sheth Group,3 BHK Apartment,₹5.54 - 5.99 Cr,783 - 1800 sq.ft,"Choose your dream home from the wide variety of 2,3,4 BHK apartments in Oshiwara, available for sale in Sheth 72 West. Prices of apartments in this project, vary between Rs. 4 - 9.38 Cr. Apartments in Sheth 72 West have CARPET area ranging between 783 - 1,800 sq.ft.. The housing society is RERA-registered with P51800028086 registration number"
Sheth 72 West,Ashwin Sheth Group,4 BHK Apartment,₹9.38 Cr,783 - 1800 sq.ft,"Choose your dream home from the wide variety of 2,3,4 BHK apartments in Oshiwara, available for sale in Sheth 72 West. Prices of apartments in this project, vary between Rs. 4 - 9.38 Cr. Apartments in Sheth 72 West have CARPET area ranging between 783 - 1,800 sq.ft.. The housing society is RERA-registered with P51800028086 registration number"
Sunteck City Avenue 1,Sunteck Realty,2 BHK Apartment,₹3.02 - 3.96 Cr,773 - 1088 sq.ft,"Here are beautifully built 2,3 BHK apartments in Goregaon West, available for sale at Sunteck City Avenue 1. Sunteck City Avenue 1 is a RERA- registered society and P51800001281 is the RERA registration number. Here units have different sizes, mostly in range of 773 - 1,088 sq.ft. CARPET area. Apartments in this complex are available in price range of Rs. 3.02 - 3.96 Cr"
Sunteck City Avenue 1,Sunteck Realty,3 BHK Apartment,₹3.49 Cr,773 - 1088 sq.ft,"Here are beautifully built 2,3 BHK apartments in Goregaon West, available for sale at Sunteck City Avenue 1. Sunteck City Avenue 1 is a RERA- registered society and P51800001281 is the RERA registration number. Here units have different sizes, mostly in range of 773 - 1,088 sq.ft. CARPET area. Apartments in this complex are available in price range of Rs. 3.02 - 3.96 Cr"
Integrated Neelkanth Prakash,Integrated Residences LLP,3 BHK Apartment,₹3.26 - 3.69 Cr,9145 - 102569 sq.ft,"Integrated Neelkanth Prakash society now offers elegantly built 3 BHK apartments in Ghatkopar East. Integrated Neelkanth Prakash is a RERA- registered society and P51800052983 is the RERA registration number. Apartment prices in this housing society vary in the range of Rs. 3.26 - 3.69 Cr. Apartments in Integrated Neelkanth Prakash have CARPET area ranging between 914.5 - 1,025.69 sq.ft."
V Laxmi Queens Park,Vaibhavlaxmi Builders,1 BHK Apartment,₹1.03 - 1.04 Cr,41323 - 100965 sq.ft,"Check out 1,2,3 BHK apartments in Chembur East, now available for sale at V Laxmi Queens Park. Apartment prices in this housing society vary in the range of Rs. 1.03 - 2.52 Cr. V Laxmi Queens Park apartments are available in multiples sizes, ranging from 413.23 - 1,009.65 sq.ft. CARPET area. V Laxmi Queens Park 's RERA registration number is P51800047377"
V Laxmi Queens Park,Vaibhavlaxmi Builders,2 BHK Apartment,₹1.6 - 1.83 Cr,41323 - 100965 sq.ft,"Check out 1,2,3 BHK apartments in Chembur East, now available for sale at V Laxmi Queens Park. Apartment prices in this housing society vary in the range of Rs. 1.03 - 2.52 Cr. V Laxmi Queens Park apartments are available in multiples sizes, ranging from 413.23 - 1,009.65 sq.ft. CARPET area. V Laxmi Queens Park 's RERA registration number is P51800047377"
V Laxmi Queens Park,Vaibhavlaxmi Builders,3 BHK Apartment,₹2.25 - 2.52 Cr,41323 - 100965 sq.ft,"Check out 1,2,3 BHK apartments in Chembur East, now available for sale at V Laxmi Queens Park. Apartment prices in this housing society vary in the range of Rs. 1.03 - 2.52 Cr. V Laxmi Queens Park apartments are available in multiples sizes, ranging from 413.23 - 1,009.65 sq.ft. CARPET area. V Laxmi Queens Park 's RERA registration number is P51800047377"
Agarwal Florence,Agarwal Group Of Companies,2 BHK Apartment,₹2 - 2.02 Cr,62818 - 91504 sq.ft,"Looking for your dream home? Explore 2,3 BHK apartments in Goregaon West, now available in Agarwal Florence. Agarwal Florence 's RERA registration number is P51800032916. This society offers apartments in the price range of Rs. 2 - 2.92 Cr. Here units have different sizes, mostly in range of 628.18 - 915.04 sq.ft. CARPET area"
Agarwal Florence,Agarwal Group Of Companies,3 BHK Apartment,₹2.73 - 2.92 Cr,62818 - 91504 sq.ft,"Looking for your dream home? Explore 2,3 BHK apartments in Goregaon West, now available in Agarwal Florence. Agarwal Florence 's RERA registration number is P51800032916. This society offers apartments in the price range of Rs. 2 - 2.92 Cr. Here units have different sizes, mostly in range of 628.18 - 915.04 sq.ft. CARPET area"
Sheth Montana Sierra,Ashwin Sheth Group,3 BHK Apartment,₹2.77 - 3.15 Cr,1065 - 1952 sq.ft,"Choose your dream home from the wide variety of 3,4 BHK apartments in Mulund West, available for sale in Sheth Montana Sierra. Sheth Montana Sierra apartments are available in multiples sizes, ranging from 1,065 - 1,952 sq.ft. CARPET area. The housing society is RERA-registered with P51800014539 registration number. Apartment prices in this housing society vary in the range of Rs. 2.77 - 5.08 Cr"
Sheth Montana Sierra,Ashwin Sheth Group,4 BHK Apartment,₹4.47 - 5.08 Cr,1065 - 1952 sq.ft,"Choose your dream home from the wide variety of 3,4 BHK apartments in Mulund West, available for sale in Sheth Montana Sierra. Sheth Montana Sierra apartments are available in multiples sizes, ranging from 1,065 - 1,952 sq.ft. CARPET area. The housing society is RERA-registered with P51800014539 registration number. Apartment prices in this housing society vary in the range of Rs. 2.77 - 5.08 Cr"
Transcon Tirumala Habitats,Transcon Developers,2 BHK Apartment,₹2.1 - 2.32 Cr,750 - 377598 sq.ft,"Transcon Tirumala Habitats, one of the known housing societes in Central Mumbai, brings classic yet modern 2,3,4,5 BHK apartments in Mulund West. Apartments in this complex are available in price range of Rs. 2.1 - 10.08 Cr. Transcon Tirumala Habitats apartments are available in multiples sizes, ranging from 750 - 3,775.98 sq.ft. CARPET area. The housing society is RERA-registered with P51800004278 registration number"
Transcon Tirumala Habitats,Transcon Developers,3 BHK Apartment,₹3 - 3.84 Cr,750 - 377598 sq.ft,"Transcon Tirumala Habitats, one of the known housing societes in Central Mumbai, brings classic yet modern 2,3,4,5 BHK apartments in Mulund West. Apartments in this complex are available in price range of Rs. 2.1 - 10.08 Cr. Transcon Tirumala Habitats apartments are available in multiples sizes, ranging from 750 - 3,775.98 sq.ft. CARPET area. The housing society is RERA-registered with P51800004278 registration number"
Transcon Tirumala Habitats,Transcon Developers,4 BHK Apartment,₹4.76 - 4.81 Cr,750 - 377598 sq.ft,"Transcon Tirumala Habitats, one of the known housing societes in Central Mumbai, brings classic yet modern 2,3,4,5 BHK apartments in Mulund West. Apartments in this complex are available in price range of Rs. 2.1 - 10.08 Cr. Transcon Tirumala Habitats apartments are available in multiples sizes, ranging from 750 - 3,775.98 sq.ft. CARPET area. The housing society is RERA-registered with P51800004278 registration number"
Transcon Tirumala Habitats,Transcon Developers,5 BHK Apartment,₹10.08 Cr,750 - 377598 sq.ft,"Transcon Tirumala Habitats, one of the known housing societes in Central Mumbai, brings classic yet modern 2,3,4,5 BHK apartments in Mulund West. Apartments in this complex are available in price range of Rs. 2.1 - 10.08 Cr. Transcon Tirumala Habitats apartments are available in multiples sizes, ranging from 750 - 3,775.98 sq.ft. CARPET area. The housing society is RERA-registered with P51800004278 registration number"
71 Midtown,Paradigm Realty,1 BHK Apartment,₹85.5 L,380 - 1180 sq.ft,"71 Midtown, one of the known housing societes in Central Mumbai, brings classic yet modern 1,2,3,4 BHK apartments in Chembur. 71 Midtown is a RERA- registered society and P51800028761 is the RERA registration number. 71 Midtown has apartments in multiple configurations, in range of 380 - 1,180 sq.ft.. Apartments in this complex are available in price range of Rs. 85.5 L - 2.95 Cr"
71 Midtown,Paradigm Realty,2 BHK Apartment,₹1.38 - 1.48 Cr,380 - 1180 sq.ft,"71 Midtown, one of the known housing societes in Central Mumbai, brings classic yet modern 1,2,3,4 BHK apartments in Chembur. 71 Midtown is a RERA- registered society and P51800028761 is the RERA registration number. 71 Midtown has apartments in multiple configurations, in range of 380 - 1,180 sq.ft.. Apartments in this complex are available in price range of Rs. 85.5 L - 2.95 Cr"
71 Midtown,Paradigm Realty,3 BHK Apartment,₹1.75 - 2.13 Cr,380 - 1180 sq.ft,"71 Midtown, one of the known housing societes in Central Mumbai, brings classic yet modern 1,2,3,4 BHK apartments in Chembur. 71 Midtown is a RERA- registered society and P51800028761 is the RERA registration number. 71 Midtown has apartments in multiple configurations, in range of 380 - 1,180 sq.ft.. Apartments in this complex are available in price range of Rs. 85.5 L - 2.95 Cr"
71 Midtown,Paradigm Realty,4 BHK Apartment,₹2.75 - 2.95 Cr,380 - 1180 sq.ft,"71 Midtown, one of the known housing societes in Central Mumbai, brings classic yet modern 1,2,3,4 BHK apartments in Chembur. 71 Midtown is a RERA- registered society and P51800028761 is the RERA registration number. 71 Midtown has apartments in multiple configurations, in range of 380 - 1,180 sq.ft.. Apartments in this complex are available in price range of Rs. 85.5 L - 2.95 Cr"
The Canvas Residences,SD Corporation,2 BHK Apartment,₹2.3 - 3.38 Cr,60467 - 88926 sq.ft,"Spacious 2,3 BHK apartments in Sewri are available for sale.Check out latest property options at The Canvas Residences housing society. The Canvas Residences 's RERA registration number is P51900026182. Apartment prices in this housing society vary in the range of Rs. 2.3 - 3.38 Cr. Apartments in The Canvas Residences have CARPET area ranging between 604.67 - 889.26 sq.ft."
The Canvas Residences,SD Corporation,3 BHK Apartment,₹2.97 - 3.24 Cr,60467 - 88926 sq.ft,"Spacious 2,3 BHK apartments in Sewri are available for sale.Check out latest property options at The Canvas Residences housing society. The Canvas Residences 's RERA registration number is P51900026182. Apartment prices in this housing society vary in the range of Rs. 2.3 - 3.38 Cr. Apartments in The Canvas Residences have CARPET area ranging between 604.67 - 889.26 sq.ft."
Peninsula Salsette 27,Peninsula Land,2 BHK Apartment,₹4.99 - 5.28 Cr,759 - 1191 sq.ft,"Spacious 2,3 BHK apartments in Byculla East are available for sale.Check out latest property options at Peninsula Salsette 27 housing society. This society offers apartments in the price range of Rs. 4.99 - 7.83 Cr. Peninsula Salsette 27 's RERA registration number is P51900000642. Peninsula Salsette 27 apartments are available in multiples sizes, ranging from 759 - 1,191 sq.ft. CARPET area"
Peninsula Salsette 27,Peninsula Land,3 BHK Apartment,₹7.6 - 7.83 Cr,759 - 1191 sq.ft,"Spacious 2,3 BHK apartments in Byculla East are available for sale.Check out latest property options at Peninsula Salsette 27 housing society. This society offers apartments in the price range of Rs. 4.99 - 7.83 Cr. Peninsula Salsette 27 's RERA registration number is P51900000642. Peninsula Salsette 27 apartments are available in multiples sizes, ranging from 759 - 1,191 sq.ft. CARPET area"
Paradigm Antalya,Paradigm Realty,1 BHK Apartment,₹91 L - 1.12 Cr,350 - 900 sq.ft,"Finest 1,2,3,4 BHK apartments in Oshiwara available for sale in Paradigm Antalya. Paradigm Antalya is a RERA- registered society and P51800020208 is the RERA registration number. Prices of apartments in this project, vary between Rs. 91 L - 2.34 Cr. Paradigm Antalya has apartments in multiple configurations, in range of 350 - 900 sq.ft."
Paradigm Antalya,Paradigm Realty,2 BHK Apartment,₹1.34 - 1.68 Cr,350 - 900 sq.ft,"Finest 1,2,3,4 BHK apartments in Oshiwara available for sale in Paradigm Antalya. Paradigm Antalya is a RERA- registered society and P51800020208 is the RERA registration number. Prices of apartments in this project, vary between Rs. 91 L - 2.34 Cr. Paradigm Antalya has apartments in multiple configurations, in range of 350 - 900 sq.ft."
Paradigm Antalya,Paradigm Realty,3 BHK Apartment,₹2.06 - 2.34 Cr,350 - 900 sq.ft,"Finest 1,2,3,4 BHK apartments in Oshiwara available for sale in Paradigm Antalya. Paradigm Antalya is a RERA- registered society and P51800020208 is the RERA registration number. Prices of apartments in this project, vary between Rs. 91 L - 2.34 Cr. Paradigm Antalya has apartments in multiple configurations, in range of 350 - 900 sq.ft."
Paradigm Antalya,Paradigm Realty,4 BHK Apartment,Price on Request,350 - 900 sq.ft,"Finest 1,2,3,4 BHK apartments in Oshiwara available for sale in Paradigm Antalya. Paradigm Antalya is a RERA- registered society and P51800020208 is the RERA registration number. Prices of apartments in this project, vary between Rs. 91 L - 2.34 Cr. Paradigm Antalya has apartments in multiple configurations, in range of 350 - 900 sq.ft."
Sheth Beaumonte,Sheth Creators,2 BHK Apartment,₹3.67 - 6.37 Cr,15317 - 215224 sq.ft,"Finest 2,3,4,5,6 BHK apartments in Sion East available for sale in Sheth Beaumonte. Sheth Beaumonte 's RERA registration number is P51900008720. Prices of apartments in this project, vary between Rs. 3.67 - 15.31 Cr. Sheth Beaumonte apartments are available in multiples sizes, ranging from 1,531.7 - 2,152.24 sq.ft. CARPET area"
Sheth Beaumonte,Sheth Creators,3 BHK Apartment,₹3.7 - 10.91 Cr,15317 - 215224 sq.ft,"Finest 2,3,4,5,6 BHK apartments in Sion East available for sale in Sheth Beaumonte. Sheth Beaumonte 's RERA registration number is P51900008720. Prices of apartments in this project, vary between Rs. 3.67 - 15.31 Cr. Sheth Beaumonte apartments are available in multiples sizes, ranging from 1,531.7 - 2,152.24 sq.ft. CARPET area"
