The Aga Hall Estate,The Aga Hall Estate,3,"Check out 2,3 BHK apartments in Mazgaon, now available for sale at The Aga Hall Estate. The housing society is RERA-registered with P51900026326 registration number. Here units have different sizes, mostly in range of 660 - 1,404 sq.ft. CARPET area. Apartment prices in this housing society vary in the range of Rs. 3.42 - 8.12 Cr","[""St. Mary's School ICSE, Mumbai"", 'Eastern Expressway Highway']",8.12,1404.0,57834.76,3
Lodha Vista,Lodha,3,"Lodha Vista society now offers elegantly built 2,3 BHK apartments in Lower Parel. The housing society is RERA-registered with P51900022245 registration number. Prices of apartments in this project, vary between Rs. 4.2 - 9.08 Cr. Lodha Vista apartments are available in multiples sizes, ranging from 680 - 1,470 sq.ft. CARPET area","['IES Secondary School', 'Saarthi Hospital']",9.08,1470.0,61768.71,3
L and T Rejuve 360,LNT Realty,2,"Beautiful 2,3,4 BHK apartments in Mulund West, are now available in L and T Rejuve 360 housing project. L and T Rejuve 360 has apartments in multiple configurations, in range of 610 - 1,300 sq.ft.. L and T Rejuve 360 is a RERA- registered society and P51800023075 is the RERA registration number. Apartments in this complex are available in price range of Rs. 1.92 - 4.26 Cr","['Godrej & Boyce Industry Estate', 'Park Site Road']",2.93,1300.0,22538.46,2
L and T Rejuve 360,LNT Realty,3,"Beautiful 2,3,4 BHK apartments in Mulund West, are now available in L and T Rejuve 360 housing project. L and T Rejuve 360 has apartments in multiple configurations, in range of 610 - 1,300 sq.ft.. L and T Rejuve 360 is a RERA- registered society and P51800023075 is the RERA registration number. Apartments in this complex are available in price range of Rs. 1.92 - 4.26 Cr","['Godrej & Boyce Industry Estate', 'Park Site Road']",4.26,1300.0,32769.23,3
L and T Rejuve 360,LNT Realty,4,"Beautiful 2,3,4 BHK apartments in Mulund West, are now available in L and T Rejuve 360 housing project. L and T Rejuve 360 has apartments in multiple configurations, in range of 610 - 1,300 sq.ft.. L and T Rejuve 360 is a RERA- registered society and P51800023075 is the RERA registration number. Apartments in this complex are available in price range of Rs. 1.92 - 4.26 Cr","['Godrej & Boyce Industry Estate', 'Park Site Road']",3.71,1300.0,28538.46,4
Codename Triumph,Adani Realty,1,"Looking for your dream home? Explore 1,2,3 BHK apartments in Bhandup West, now available in Codename Triumph. The housing society is RERA-registered with P51800055125 registration number. Prices of apartments in this project, vary between Rs. 1.67 - 2.55 Cr. Codename Triumph has apartments in multiple configurations, in range of 476.2 - 842.38 sq.ft.","['Mahim Railway Station', 'CS International Airport']",1.68,84238.0,199.43,1
Codename Triumph,Adani Realty,2,"Looking for your dream home? Explore 1,2,3 BHK apartments in Bhandup West, now available in Codename Triumph. The housing society is RERA-registered with P51800055125 registration number. Prices of apartments in this project, vary between Rs. 1.67 - 2.55 Cr. Codename Triumph has apartments in multiple configurations, in range of 476.2 - 842.38 sq.ft.","['Mahim Railway Station', 'CS International Airport']",2.55,84238.0,302.71,2
Codename Triumph,Adani Realty,3,"Looking for your dream home? Explore 1,2,3 BHK apartments in Bhandup West, now available in Codename Triumph. The housing society is RERA-registered with P51800055125 registration number. Prices of apartments in this project, vary between Rs. 1.67 - 2.55 Cr. Codename Triumph has apartments in multiple configurations, in range of 476.2 - 842.38 sq.ft.","['Mahim Railway Station', 'CS International Airport']",2.53,84238.0,300.34,3
Aikya Roots,Aikya Realty And Racek Industries,1,"Aikya Roots society now offers elegantly built 1,2 BHK apartments in Vikhroli West. Aikya Roots has apartments in multiple configurations, in range of 427 - 679 sq.ft.. Prices of apartments in this project, vary between Rs. 1.25 - 2 Cr. The housing society is RERA-registered with P51800047194 registration number","['Neptune Magnet Mall', 'IIT Bombay']",1.25,679.0,18409.43,1
Aikya Roots,Aikya Realty And Racek Industries,2,"Aikya Roots society now offers elegantly built 1,2 BHK apartments in Vikhroli West. Aikya Roots has apartments in multiple configurations, in range of 427 - 679 sq.ft.. Prices of apartments in this project, vary between Rs. 1.25 - 2 Cr. The housing society is RERA-registered with P51800047194 registration number","['Neptune Magnet Mall', 'IIT Bombay']",2.0,679.0,29455.08,2
L and T Island Cove,Larsen and Toubro,2,"Choose your dream home from the wide variety of 2,3 BHK apartments in Mahim West, available for sale in L and T Island Cove. L and T Island Cove has apartments in multiple configurations, in range of 694.81 - 1,219.77 sq.ft.. The housing society is RERA-registered with P51900046369 registration number. This society offers apartments in the price range of Rs. 3.25 - 5.72 Cr","['St. Francis School', 'Fortis Hospital']",3.83,121977.0,313.99,2
L and T Island Cove,Larsen and Toubro,3,"Choose your dream home from the wide variety of 2,3 BHK apartments in Mahim West, available for sale in L and T Island Cove. L and T Island Cove has apartments in multiple configurations, in range of 694.81 - 1,219.77 sq.ft.. The housing society is RERA-registered with P51900046369 registration number. This society offers apartments in the price range of Rs. 3.25 - 5.72 Cr","['St. Francis School', 'Fortis Hospital']",5.72,121977.0,468.94,3
Runwal Forests,Runwal Group,1,"Looking for your dream home? Explore 1,2,3 BHK apartments in Kanjurmarg west, now available in Runwal Forests. Runwal Forests has apartments in multiple configurations, in range of 430.34 - 1,192 sq.ft.. Prices of apartments in this project, vary between Rs. 1.35 - 3.98 Cr. This society is RERA approved and P51800001838 is the RERA number","['Saraswati Vidyalaya', 'University of Mumbai']",1.48,1192.0,12416.11,1
Runwal Forests,Runwal Group,2,"Looking for your dream home? Explore 1,2,3 BHK apartments in Kanjurmarg west, now available in Runwal Forests. Runwal Forests has apartments in multiple configurations, in range of 430.34 - 1,192 sq.ft.. Prices of apartments in this project, vary between Rs. 1.35 - 3.98 Cr. This society is RERA approved and P51800001838 is the RERA number","['Saraswati Vidyalaya', 'University of Mumbai']",2.61,1192.0,21895.97,2
Runwal Forests,Runwal Group,3,"Looking for your dream home? Explore 1,2,3 BHK apartments in Kanjurmarg west, now available in Runwal Forests. Runwal Forests has apartments in multiple configurations, in range of 430.34 - 1,192 sq.ft.. Prices of apartments in this project, vary between Rs. 1.35 - 3.98 Cr. This society is RERA approved and P51800001838 is the RERA number","['Saraswati Vidyalaya', 'University of Mumbai']",3.98,1192.0,33389.26,3
Linkbay Residences,Adani Realty,2,"Choose your dream home from the wide variety of 2,3,4 BHK apartments in Andheri West, available for sale in Linkbay Residences. Prices of apartments in this project, vary between Rs. 3.53 - 7.45 Cr. The housing society is RERA-registered with P51800047539 registration number. Linkbay Residences apartments are available in multiples sizes, ranging from 776.72 - 1,836.65 sq.ft. CARPET area",[],5.94,183665.0,323.41,2
Linkbay Residences,Adani Realty,3,"Choose your dream home from the wide variety of 2,3,4 BHK apartments in Andheri West, available for sale in Linkbay Residences. Prices of apartments in this project, vary between Rs. 3.53 - 7.45 Cr. The housing society is RERA-registered with P51800047539 registration number. Linkbay Residences apartments are available in multiples sizes, ranging from 776.72 - 1,836.65 sq.ft. CARPET area",[],5.97,183665.0,325.05,3
Linkbay Residences,Adani Realty,4,"Choose your dream home from the wide variety of 2,3,4 BHK apartments in Andheri West, available for sale in Linkbay Residences. Prices of apartments in this project, vary between Rs. 3.53 - 7.45 Cr. The housing society is RERA-registered with P51800047539 registration number. Linkbay Residences apartments are available in multiples sizes, ranging from 776.72 - 1,836.65 sq.ft. CARPET area",[],7.45,183665.0,405.63,4
Satre Happynest,Satre Constructions LLP,1,"Beautiful 1,2 BHK apartments in Kanjurmarg East, are now available in Satre Happynest housing project. The housing society is RERA-registered with P51800054595 registration number. Prices of apartments in this project, vary between Rs. 87.15 L - 1.45 Cr. Apartments in Satre Happynest have CARPET area ranging between 420 - 663 sq.ft.",[],0.9295,663.0,14019.61,1
Satre Happynest,Satre Constructions LLP,2,"Beautiful 1,2 BHK apartments in Kanjurmarg East, are now available in Satre Happynest housing project. The housing society is RERA-registered with P51800054595 registration number. Prices of apartments in this project, vary between Rs. 87.15 L - 1.45 Cr. Apartments in Satre Happynest have CARPET area ranging between 420 - 663 sq.ft.",[],1.45,663.0,21870.29,2
Chandak Highscape City,Chandak Group,1,"Beautiful 1,2,3 BHK apartments in Chembur, are now available in Chandak Highscape City housing project. Chandak Highscape City has apartments in multiple configurations, in range of 400 - 890 sq.ft.. Apartments in this complex are available in price range of Rs. 1.18 - 2.71 Cr. Chandak Highscape City is a RERA- registered society and P51800055726 is the RERA registration number",[],1.3,890.0,14606.74,1
Chandak Highscape City,Chandak Group,2,"Beautiful 1,2,3 BHK apartments in Chembur, are now available in Chandak Highscape City housing project. Chandak Highscape City has apartments in multiple configurations, in range of 400 - 890 sq.ft.. Apartments in this complex are available in price range of Rs. 1.18 - 2.71 Cr. Chandak Highscape City is a RERA- registered society and P51800055726 is the RERA registration number",[],1.99,890.0,22359.55,2
Chandak Highscape City,Chandak Group,3,"Beautiful 1,2,3 BHK apartments in Chembur, are now available in Chandak Highscape City housing project. Chandak Highscape City has apartments in multiple configurations, in range of 400 - 890 sq.ft.. Apartments in this complex are available in price range of Rs. 1.18 - 2.71 Cr. Chandak Highscape City is a RERA- registered society and P51800055726 is the RERA registration number",[],2.71,890.0,30449.44,3
Omkar Alta Monte,ERA Realtors,2,"Omkar Alta Monte, one of the known housing societes in Western Mumbai, brings classic yet modern 2,3,4,5 BHK apartments in Malad East. The housing society is RERA-registered with P51800010463 registration number. Omkar Alta Monte apartments are available in multiples sizes, ranging from 783.83 - 3,330 sq.ft. CARPET area. Apartments in this complex are available in price range of Rs. 2.37 - 10.25 Cr","['Sanskar College', 'Western Express Highway']",4.18,3330.0,12552.55,2
Omkar Alta Monte,ERA Realtors,3,"Omkar Alta Monte, one of the known housing societes in Western Mumbai, brings classic yet modern 2,3,4,5 BHK apartments in Malad East. The housing society is RERA-registered with P51800010463 registration number. Omkar Alta Monte apartments are available in multiples sizes, ranging from 783.83 - 3,330 sq.ft. CARPET area. Apartments in this complex are available in price range of Rs. 2.37 - 10.25 Cr","['Sanskar College', 'Western Express Highway']",6.0,3330.0,18018.02,3
Omkar Alta Monte,ERA Realtors,4,"Omkar Alta Monte, one of the known housing societes in Western Mumbai, brings classic yet modern 2,3,4,5 BHK apartments in Malad East. The housing society is RERA-registered with P51800010463 registration number. Omkar Alta Monte apartments are available in multiples sizes, ranging from 783.83 - 3,330 sq.ft. CARPET area. Apartments in this complex are available in price range of Rs. 2.37 - 10.25 Cr","['Sanskar College', 'Western Express Highway']",10.25,3330.0,30780.78,4
Omkar Alta Monte,ERA Realtors,5,"Omkar Alta Monte, one of the known housing societes in Western Mumbai, brings classic yet modern 2,3,4,5 BHK apartments in Malad East. The housing society is RERA-registered with P51800010463 registration number. Omkar Alta Monte apartments are available in multiples sizes, ranging from 783.83 - 3,330 sq.ft. CARPET area. Apartments in this complex are available in price range of Rs. 2.37 - 10.25 Cr","['Sanskar College', 'Western Express Highway']",,3330.0,,5
Arkade Crown,Arkade,1,"Finest 1,2,3 BHK apartments in Eksar available for sale in Arkade Crown. Arkade Crown 's RERA registration number is P51800045342. Apartment prices in this housing society vary in the range of Rs. 1.36 - 5.14 Cr. Arkade Crown apartments are available in multiples sizes, ranging from 399.34 - 1,289 sq.ft. CARPET area","['Mary Immaculate Girls School', 'Purohit Hospital']",1.56,1289.0,12102.4,1
Arkade Crown,Arkade,2,"Finest 1,2,3 BHK apartments in Eksar available for sale in Arkade Crown. Arkade Crown 's RERA registration number is P51800045342. Apartment prices in this housing society vary in the range of Rs. 1.36 - 5.14 Cr. Arkade Crown apartments are available in multiples sizes, ranging from 399.34 - 1,289 sq.ft. CARPET area","['Mary Immaculate Girls School', 'Purohit Hospital']",2.74,1289.0,21256.79,2
Arkade Crown,Arkade,3,"Finest 1,2,3 BHK apartments in Eksar available for sale in Arkade Crown. Arkade Crown 's RERA registration number is P51800045342. Apartment prices in this housing society vary in the range of Rs. 1.36 - 5.14 Cr. Arkade Crown apartments are available in multiples sizes, ranging from 399.34 - 1,289 sq.ft. CARPET area","['Mary Immaculate Girls School', 'Purohit Hospital']",5.14,1289.0,39875.87,3
L and T Veridian at Emerald Isle,LNT Realty,1,"Beautiful 1,2,3 BHK apartments in Powai, are now available in L and T Veridian at Emerald Isle housing project. L and T Veridian at Emerald Isle 's RERA registration number is P51800003446. Prices of apartments in this project, vary between Rs. 1.29 - 3.74 Cr. Apartments in L and T Veridian at Emerald Isle have CARPET area ranging between 359 - 990 sq.ft.","['The Westin Mumbai Powai Lake', 'Newbridge Business Centres']",2.01,990.0,20303.03,1
L and T Veridian at Emerald Isle,LNT Realty,2,"Beautiful 1,2,3 BHK apartments in Powai, are now available in L and T Veridian at Emerald Isle housing project. L and T Veridian at Emerald Isle 's RERA registration number is P51800003446. Prices of apartments in this project, vary between Rs. 1.29 - 3.74 Cr. Apartments in L and T Veridian at Emerald Isle have CARPET area ranging between 359 - 990 sq.ft.","['The Westin Mumbai Powai Lake', 'Newbridge Business Centres']",3.17,990.0,32020.2,2
L and T Veridian at Emerald Isle,LNT Realty,3,"Beautiful 1,2,3 BHK apartments in Powai, are now available in L and T Veridian at Emerald Isle housing project. L and T Veridian at Emerald Isle 's RERA registration number is P51800003446. Prices of apartments in this project, vary between Rs. 1.29 - 3.74 Cr. Apartments in L and T Veridian at Emerald Isle have CARPET area ranging between 359 - 990 sq.ft.","['The Westin Mumbai Powai Lake', 'Newbridge Business Centres']",3.74,990.0,37777.78,3
Lodha Bellevue Tower 3,Lodha,3,"Beautiful 3,4,5 BHK apartments in Byculla, are now available in Lodha Bellevue Tower 3 housing project. This society offers apartments in the price range of Rs. 3.59 - 10.77 Cr. Here units have different sizes, mostly in range of 800 - 2,397 sq.ft. CARPET area. This society is RERA approved and P51900046594 is the RERA number","['Barkat English High School', 'Burhani College']",5.47,2397.0,22820.19,3
Lodha Bellevue Tower 3,Lodha,4,"Beautiful 3,4,5 BHK apartments in Byculla, are now available in Lodha Bellevue Tower 3 housing project. This society offers apartments in the price range of Rs. 3.59 - 10.77 Cr. Here units have different sizes, mostly in range of 800 - 2,397 sq.ft. CARPET area. This society is RERA approved and P51900046594 is the RERA number","['Barkat English High School', 'Burhani College']",9.34,2397.0,38965.37,4
Lodha Bellevue Tower 3,Lodha,5,"Beautiful 3,4,5 BHK apartments in Byculla, are now available in Lodha Bellevue Tower 3 housing project. This society offers apartments in the price range of Rs. 3.59 - 10.77 Cr. Here units have different sizes, mostly in range of 800 - 2,397 sq.ft. CARPET area. This society is RERA approved and P51900046594 is the RERA number","['Barkat English High School', 'Burhani College']",10.77,2397.0,44931.16,5
Rustomjee Seasons,Rustomjee,3,"Choose your dream home from the wide variety of 3 BHK apartments in Bandra East, available for sale in Rustomjee Seasons. This society offers apartments in the price range of Rs. 5.94 - 6.8 Cr. The housing society is RERA-registered with P51800001433 registration number. Apartments in Rustomjee Seasons have CARPET area ranging between 997 - 1,141 sq.ft.","['Purushottam high school', 'Bandra Kurla Complex Road']",6.8,1141.0,59596.84,3
Verdant By Spectrum,Spectrum Properties,2,"Looking for your dream home? Explore 2 BHK apartments in Bandra West, now available in Verdant By Spectrum. Apartments in this complex are available in price range of Rs. 5.03 - 5.11 Cr. Apartments in Verdant By Spectrum have CARPET area ranging between 774 - 786 sq.ft.. Verdant By Spectrum 's RERA registration number is P51800054425","[""St. Teresa's Institute Of Education"", 'Lilavati Hospital']",5.11,786.0,65012.72,2
Vivan Heights,Vivan Group,1,"Choose your dream home from the wide variety of 1,2 BHK apartments in Chembur, available for sale in Vivan Heights. Here units have different sizes, mostly in range of 380 - 590 sq.ft. CARPET area. Apartments in this complex are available in price range of Rs. 95 L - 1.5 Cr. This society is RERA approved and P51800056066 is the RERA number","['Universal High School Chembur', 'Savla Hospital']",0.95,590.0,16101.69,1
Vivan Heights,Vivan Group,2,"Choose your dream home from the wide variety of 1,2 BHK apartments in Chembur, available for sale in Vivan Heights. Here units have different sizes, mostly in range of 380 - 590 sq.ft. CARPET area. Apartments in this complex are available in price range of Rs. 95 L - 1.5 Cr. This society is RERA approved and P51800056066 is the RERA number","['Universal High School Chembur', 'Savla Hospital']",1.5,590.0,25423.73,2
Sky City by Oberoi Realty,Oberoi Realty,3,"Finest 3 BHK apartments in Borivali East available for sale in Sky City by Oberoi Realty. Apartments in Sky City by Oberoi Realty have CARPET area ranging between 1,034 - 1,404 sq.ft.. This society offers apartments in the price range of Rs. 3.99 - 5.42 Cr. Sky City by Oberoi Realty is a RERA- registered society and P51800003582 is the RERA registration number","['Dattapada Road', 'Apex Multispeciality Hospitals']",5.42,1404.0,38603.99,3
DLH Legacy,Dev Land and Housing,2,"Here are beautifully built 2,3 BHK apartments in Jvpd Scheme, available for sale at DLH Legacy. Apartments in DLH Legacy have CARPET area ranging between 910.95 - 1,279.94 sq.ft.. Apartments in this complex are available in price range of Rs. 5.01 - 7.61 Cr. DLH Legacy 's RERA registration number is P51800033074","['CP Goenka School', 'NMIMS\xa0University']",6.37,127994.0,497.68,2
DLH Legacy,Dev Land and Housing,3,"Here are beautifully built 2,3 BHK apartments in Jvpd Scheme, available for sale at DLH Legacy. Apartments in DLH Legacy have CARPET area ranging between 910.95 - 1,279.94 sq.ft.. Apartments in this complex are available in price range of Rs. 5.01 - 7.61 Cr. DLH Legacy 's RERA registration number is P51800033074","['CP Goenka School', 'NMIMS\xa0University']",7.61,127994.0,594.56,3
Arkade Prime,Arkade,1,"Spacious 1,2,3 BHK apartments in Andheri East are available for sale.Check out latest property options at Arkade Prime housing society. Prices of apartments in this project, vary between Rs. 1.12 - 2.21 Cr. Arkade Prime has apartments in multiple configurations, in range of 423.99 - 829.9 sq.ft.. The housing society is RERA-registered with P51800047081 registration number","['Top Floor', 'Fresh Construction']",1.12,8299.0,1349.56,1
Arkade Prime,Arkade,2,"Spacious 1,2,3 BHK apartments in Andheri East are available for sale.Check out latest property options at Arkade Prime housing society. Prices of apartments in this project, vary between Rs. 1.12 - 2.21 Cr. Arkade Prime has apartments in multiple configurations, in range of 423.99 - 829.9 sq.ft.. The housing society is RERA-registered with P51800047081 registration number","['Top Floor', 'Fresh Construction']",1.97,8299.0,2373.78,2
Arkade Prime,Arkade,3,"Spacious 1,2,3 BHK apartments in Andheri East are available for sale.Check out latest property options at Arkade Prime housing society. Prices of apartments in this project, vary between Rs. 1.12 - 2.21 Cr. Arkade Prime has apartments in multiple configurations, in range of 423.99 - 829.9 sq.ft.. The housing society is RERA-registered with P51800047081 registration number","['Top Floor', 'Fresh Construction']",2.21,8299.0,2662.97,3
Suraj Vitalis,Suraj Estate,1,"Spacious 1,2 BHK apartments in Mahim West are available for sale.Check out latest property options at Suraj Vitalis housing society. This society offers apartments in the price range of Rs. 3.45 - 3.6 Cr. Here units have different sizes, mostly in range of 652 - 692 sq.ft. CARPET area. Suraj Vitalis is a RERA- registered society and P51900031447 is the RERA registration number","['Marol Naka Metro Station', 'Times Square Building']",,692.0,,1
Suraj Vitalis,Suraj Estate,2,"Spacious 1,2 BHK apartments in Mahim West are available for sale.Check out latest property options at Suraj Vitalis housing society. This society offers apartments in the price range of Rs. 3.45 - 3.6 Cr. Here units have different sizes, mostly in range of 652 - 692 sq.ft. CARPET area. Suraj Vitalis is a RERA- registered society and P51900031447 is the RERA registration number","['Marol Naka Metro Station', 'Times Square Building']",3.6,692.0,52023.12,2
Gurukrupa Marina Enclave,Gurukrupa Group,1,"Choose your dream home from the wide variety of 1,2,3 BHK apartments in Malad West, available for sale in Gurukrupa Marina Enclave. This society is RERA approved and P51800007088 is the RERA number. Apartment prices in this housing society vary in the range of Rs. 1.18 - 2.35 Cr. Gurukrupa Marina Enclave apartments are available in multiples sizes, ranging from 452 - 929 sq.ft. CARPET area","['Royal Medical', 'Memons Pharma']",1.18,929.0,12701.83,1
Gurukrupa Marina Enclave,Gurukrupa Group,2,"Choose your dream home from the wide variety of 1,2,3 BHK apartments in Malad West, available for sale in Gurukrupa Marina Enclave. This society is RERA approved and P51800007088 is the RERA number. Apartment prices in this housing society vary in the range of Rs. 1.18 - 2.35 Cr. Gurukrupa Marina Enclave apartments are available in multiples sizes, ranging from 452 - 929 sq.ft. CARPET area","['Royal Medical', 'Memons Pharma']",1.81,929.0,19483.32,2
Gurukrupa Marina Enclave,Gurukrupa Group,3,"Choose your dream home from the wide variety of 1,2,3 BHK apartments in Malad West, available for sale in Gurukrupa Marina Enclave. This society is RERA approved and P51800007088 is the RERA number. Apartment prices in this housing society vary in the range of Rs. 1.18 - 2.35 Cr. Gurukrupa Marina Enclave apartments are available in multiples sizes, ranging from 452 - 929 sq.ft. CARPET area","['Royal Medical', 'Memons Pharma']",2.35,929.0,25296.02,3
Sugee Vijayshree,Sugee Group,3,"Spacious 3,4 BHK apartments in Shivaji Park are available for sale.Check out latest property options at Sugee Vijayshree housing society. This society offers apartments in the price range of Rs. 6.14 - 12.41 Cr. Sugee Vijayshree has apartments in multiple configurations, in range of 1,024.08 - 1,692.62 sq.ft.. Sugee Vijayshree 's RERA registration number is P51900052518","['Bandar Pakhadi Road', 'Proposed Metro Station']",9.5,169262.0,561.26,3
Sugee Vijayshree,Sugee Group,4,"Spacious 3,4 BHK apartments in Shivaji Park are available for sale.Check out latest property options at Sugee Vijayshree housing society. This society offers apartments in the price range of Rs. 6.14 - 12.41 Cr. Sugee Vijayshree has apartments in multiple configurations, in range of 1,024.08 - 1,692.62 sq.ft.. Sugee Vijayshree 's RERA registration number is P51900052518","['Bandar Pakhadi Road', 'Proposed Metro Station']",12.41,169262.0,733.18,4
Sugee Sukrut,Sugee Group,2,"Looking for your dream home? Explore 2 BHK apartments in Dadar West, now available in Sugee Sukrut. Sugee Sukrut is a RERA- registered society and P51900051181 is the RERA registration number. Here units have different sizes, mostly in range of 799.01 sq.ft. CARPET area. Apartments in this complex are available in price range of Rs. 5.33 Cr","['Sane Guruji Vidyalaya', 'Kalina University']",5.33,,,2
Anchor Point,Yukti Infraprojects LLP,1,"Spacious 1,2,3,4 BHK apartments in Malad West are available for sale.Check out latest property options at Anchor Point housing society. Apartments in this complex are available in price range of Rs. 2 - 4.03 Cr. Anchor Point is a RERA- registered society and P51800055516 is the RERA registration number. Here units have different sizes, mostly in range of 740 - 1,492 sq.ft. CARPET area","['Namaha Hospital', 'Nagindas Khandwala College']",,1492.0,,1
Anchor Point,Yukti Infraprojects LLP,2,"Spacious 1,2,3,4 BHK apartments in Malad West are available for sale.Check out latest property options at Anchor Point housing society. Apartments in this complex are available in price range of Rs. 2 - 4.03 Cr. Anchor Point is a RERA- registered society and P51800055516 is the RERA registration number. Here units have different sizes, mostly in range of 740 - 1,492 sq.ft. CARPET area","['Namaha Hospital', 'Nagindas Khandwala College']",2.0,1492.0,13404.83,2
Anchor Point,Yukti Infraprojects LLP,3,"Spacious 1,2,3,4 BHK apartments in Malad West are available for sale.Check out latest property options at Anchor Point housing society. Apartments in this complex are available in price range of Rs. 2 - 4.03 Cr. Anchor Point is a RERA- registered society and P51800055516 is the RERA registration number. Here units have different sizes, mostly in range of 740 - 1,492 sq.ft. CARPET area","['Namaha Hospital', 'Nagindas Khandwala College']",3.03,1492.0,20308.31,3
Anchor Point,Yukti Infraprojects LLP,4,"Spacious 1,2,3,4 BHK apartments in Malad West are available for sale.Check out latest property options at Anchor Point housing society. Apartments in this complex are available in price range of Rs. 2 - 4.03 Cr. Anchor Point is a RERA- registered society and P51800055516 is the RERA registration number. Here units have different sizes, mostly in range of 740 - 1,492 sq.ft. CARPET area","['Namaha Hospital', 'Nagindas Khandwala College']",4.03,1492.0,27010.72,4
Kalpataru Vienta,Kalpataru Limited,1,"Finest 1,2,3,4 BHK apartments in Kandivali East available for sale in Kalpataru Vienta. This society is RERA approved and P51800023768 is the RERA number. Prices of apartments in this project, vary between Rs. 1.36 - 6.42 Cr. Kalpataru Vienta apartments are available in multiples sizes, ranging from 339 - 1,606 sq.ft. CARPET area","['Santacruz East BMC School', 'R K Hospital']",1.84,1606.0,11457.04,1
Kalpataru Vienta,Kalpataru Limited,2,"Finest 1,2,3,4 BHK apartments in Kandivali East available for sale in Kalpataru Vienta. This society is RERA approved and P51800023768 is the RERA number. Prices of apartments in this project, vary between Rs. 1.36 - 6.42 Cr. Kalpataru Vienta apartments are available in multiples sizes, ranging from 339 - 1,606 sq.ft. CARPET area","['Santacruz East BMC School', 'R K Hospital']",2.96,1606.0,18430.88,2
Kalpataru Vienta,Kalpataru Limited,3,"Finest 1,2,3,4 BHK apartments in Kandivali East available for sale in Kalpataru Vienta. This society is RERA approved and P51800023768 is the RERA number. Prices of apartments in this project, vary between Rs. 1.36 - 6.42 Cr. Kalpataru Vienta apartments are available in multiples sizes, ranging from 339 - 1,606 sq.ft. CARPET area","['Santacruz East BMC School', 'R K Hospital']",4.4,1606.0,27397.26,3
Kalpataru Vienta,Kalpataru Limited,4,"Finest 1,2,3,4 BHK apartments in Kandivali East available for sale in Kalpataru Vienta. This society is RERA approved and P51800023768 is the RERA number. Prices of apartments in this project, vary between Rs. 1.36 - 6.42 Cr. Kalpataru Vienta apartments are available in multiples sizes, ranging from 339 - 1,606 sq.ft. CARPET area","['Santacruz East BMC School', 'R K Hospital']",6.42,1606.0,39975.09,4
Platinum Vista,Platinum Corp,4,"Finest 4 BHK apartments in Khar West available for sale in Platinum Vista. This society offers apartments in the price range of Rs. 10.73 Cr. This society is RERA approved and P51800049496 is the RERA number. Here units have different sizes, mostly in range of 1,950 sq.ft. CARPET area","['IDFC FIRST Bank, Mulund - GoregaonLinkRd', 'Fortis Hospital Mulund']",10.73,,,4
Runwal Greens,Runwal Group,2,"Beautiful 2,3,4 BHK apartments in Mulund West, are now available in Runwal Greens housing project. Apartment prices in this housing society vary in the range of Rs. 2 - 5.57 Cr. Runwal Greens is a RERA- registered society and P51800000271 is the RERA registration number. Runwal Greens apartments are available in multiples sizes, ranging from 732 - 1,988 sq.ft. CARPET area","['SV Road', 'Ramakrishna Mission Hospital']",2.83,1988.0,14235.41,2
Runwal Greens,Runwal Group,3,"Beautiful 2,3,4 BHK apartments in Mulund West, are now available in Runwal Greens housing project. Apartment prices in this housing society vary in the range of Rs. 2 - 5.57 Cr. Runwal Greens is a RERA- registered society and P51800000271 is the RERA registration number. Runwal Greens apartments are available in multiples sizes, ranging from 732 - 1,988 sq.ft. CARPET area","['SV Road', 'Ramakrishna Mission Hospital']",3.47,1988.0,17454.73,3
Runwal Greens,Runwal Group,4,"Beautiful 2,3,4 BHK apartments in Mulund West, are now available in Runwal Greens housing project. Apartment prices in this housing society vary in the range of Rs. 2 - 5.57 Cr. Runwal Greens is a RERA- registered society and P51800000271 is the RERA registration number. Runwal Greens apartments are available in multiples sizes, ranging from 732 - 1,988 sq.ft. CARPET area","['SV Road', 'Ramakrishna Mission Hospital']",5.57,1988.0,28018.11,4
S Raheja New Light,S Raheja Realty,2,"Choose your dream home from the wide variety of 2,3,4,5 BHK apartments in Khar West, available for sale in S Raheja New Light. This society offers apartments in the price range of Rs. 3.55 - 11.95 Cr. The housing society is RERA-registered with P51800024620 registration number. S Raheja New Light apartments are available in multiples sizes, ranging from 775 - 2,598 sq.ft. CARPET area","['Sri BasavWockhardt Hospital', 'Mahalaxmi Station']",4.22,2598.0,16243.26,2
S Raheja New Light,S Raheja Realty,3,"Choose your dream home from the wide variety of 2,3,4,5 BHK apartments in Khar West, available for sale in S Raheja New Light. This society offers apartments in the price range of Rs. 3.55 - 11.95 Cr. The housing society is RERA-registered with P51800024620 registration number. S Raheja New Light apartments are available in multiples sizes, ranging from 775 - 2,598 sq.ft. CARPET area","['Sri BasavWockhardt Hospital', 'Mahalaxmi Station']",9.2,2598.0,35411.86,3
S Raheja New Light,S Raheja Realty,4,"Choose your dream home from the wide variety of 2,3,4,5 BHK apartments in Khar West, available for sale in S Raheja New Light. This society offers apartments in the price range of Rs. 3.55 - 11.95 Cr. The housing society is RERA-registered with P51800024620 registration number. S Raheja New Light apartments are available in multiples sizes, ranging from 775 - 2,598 sq.ft. CARPET area","['Sri BasavWockhardt Hospital', 'Mahalaxmi Station']",9.48,2598.0,36489.61,4
